Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
9.23523837343736e-07,9.713453985340984e-07,1.145100115524694e-06,1.1356646648680484e-06,1.2548143016929508e-06,8.193097180236372e-07,1.0224030442223324e-06,1.0061230190189134e-06,1.142284115073617e-06,1.0822070206091864e-06
8.070510800905326e-07,9.187842546682398e-07,8.055807819482212e-07,1.1633418125472909e-06,9.122600590011238e-07,7.726944747713365e-07,8.935643330411538e-07,1.028810888172629e-06,9.012428298918507e-07,6.850627661859726e-07
1.4098379006420907e-06,3.169003e-06,9.874983726035123e-07,1.5117016794510443e-06,2.2248617250240545e-06,2.8463195363781662e-06,1.005321997781383e-06,2.224980638569607e-06,7.918166268390624e-07,6.706055e-07
8.650832668917083e-07,1.1466779719690377e-06,8.067105438031484e-07,8.326505048713876e-07,8.723814637591022e-07,7.278110518106508e-07,9.221555534443343e-07,7.341400656571763e-07,8.418644451311487e-07,8.764876447995003e-07
1.7566339730615915e-06,6.706055e-07,8.553010923863385e-07,3.169003e-06,1.3421551436887823e-06,1.3225502904146376e-06,6.706055e-07,6.991805369802723e-07,2.7077595211871627e-06,1.964742111477265e-06
7.935932068986955e-07,6.950131161890462e-07,7.063739323381414e-07,9.135823337334039e-07,1.0096733131951745e-06,1.0850377216475725e-06,9.442119417762477e-07,1.3115805557413092e-06,1.0358746006454796e-06,9.647239092405507e-07
1.1278313148625374e-06,1.2360274486417407e-06,1.5463176504320831e-06,1.0460195632977047e-06,1.4382179842467823e-06,2.1683072064271267e-06,2.8647485321051695e-06,3.169003e-06,2.0606055786389092e-06,6.706055e-07
1.1979655430399383e-06,6.706055e-07,6.706055e-07,2.831290959242935e-06,1.42578807777647e-06,3.169003e-06,1.978963420545025e-06,2.2083830052873377e-06,2.9156364494966934e-06,1.6500200948636042e-06
6.706055e-07,2.186439872513366e-06,6.706055e-07,2.7042340725402573e-06,1.4657760695448356e-06,3.169003e-06,2.512022453298473e-06,6.706055e-07,2.5266020772894764e-06,1.2995994458084296e-06
9.530806570240664e-07,7.053651228244946e-07,1.049516218781135e-06,1.0603822150454643e-06,1.1136396615667303e-06,7.418005560694061e-07,7.625656424228852e-07,9.350330484559032e-07,9.282977972069814e-07,7.523730875774902e-07
1.1385587340517205e-06,2.434675903845156e-06,3.169003e-06,6.706055e-07,2.7045995286250776e-06,2.3423651360029913e-06,1.3499461431334934e-06,6.706055e-07,1.3589128954321845e-06,2.053067724803345e-06
6.706055e-07,1.3356667907044426e-06,1.956915626906993e-06,8.25298347705845e-07,3.169003e-06,3.169003e-06,2.9615524045524517e-06,1.3933176168549241e-06,2.9217161488161506e-06,6.706055e-07
6.706055e-07,1.746667547307723e-06,1.4546110851595072e-06,6.706055e-07,3.169003e-06,2.2374327364154135e-06,2.763151797654449e-06,6.706055e-07,3.169003e-06,7.548976181591787e-07
6.706055e-07,3.169003e-06,6.706055e-07,6.706055e-07,8.590956802859958e-07,1.405028550317668e-06,3.169003e-06,6.706055e-07,2.7444664627915098e-06,2.1824519622427904e-06
6.706055e-07,3.169003e-06,3.169003e-06,6.706055e-07,2.3535968691885192e-06,6.706055e-07,6.706055e-07,3.169003e-06,3.169003e-06,2.563954953059094e-06
3.169003e-06,2.2624985405572314e-06,2.4751642835966337e-06,2.511253778666418e-06,3.008728125469841e-06,2.985347897509979e-06,6.706055e-07,1.1974491170864695e-06,2.931979407784398e-06,3.169003e-06
1.8377281428556113e-06,6.706055e-07,6.706055e-07,6.706055e-07,2.3820114939706603e-06,3.169003e-06,3.148523039619573e-06,1.953948416312806e-06,8.960602547059512e-07,1.3170559238744192e-06
3.169003e-06,2.2312852112930954e-06,3.169003e-06,2.0694577623446443e-06,3.169003e-06,2.4915285432351064e-06,3.1584751337799503e-06,3.062336386902424e-06,6.706055e-07,1.514466165920397e-06
3.169003e-06,1.281743822513769e-06,1.463535630076586e-06,1.583762512493585e-06,2.319469501480987e-06,2.940230531402379e-06,1.12314827597699e-06,1.1785451088655283e-06,3.169003e-06,6.706055e-07
8.613106026568957e-07,8.969700834870312e-07,8.334925564278457e-07,6.706055e-07,3.169003e-06,2.0333864955137006e-06,6.706055e-07,3.169003e-06,3.169003e-06,6.706055e-07
6.706055e-07,2.6778817009627185e-06,1.359703391182987e-06,3.169003e-06,1.2519615737159253e-06,6.841927053687571e-07,6.706055e-07,1.1852642030357272e-06,7.198126564641782e-07,2.088935652067989e-06
2.504194751222398e-06,6.706055e-07,8.317816618536932e-07,1.2457277454449434e-06,6.706055e-07,6.706055e-07,3.169003e-06,2.5603465222962877e-06,3.169003e-06,1.9893482119676227e-06
2.480615053393713e-06,6.706055e-07,3.169003e-06,2.6667692805063626e-06,2.0647010633674684e-06,3.169003e-06,6.706055e-07,7.551655024363173e-07,1.2424609001766604e-06,2.431555044848508e-06
9.760424037756666e-07,8.242884501805783e-07,7.887374683174455e-07,7.461596864528584e-07,7.702064511780686e-07,1.0305912608132761e-06,1.237978737394573e-06,8.028210730166673e-07,7.903080449078462e-07,6.870716480628333e-07
1.0084313809857971e-06,9.794806812048515e-07,6.706055e-07,3.169003e-06,2.202257659663086e-06,1.0243506725214323e-06,6.706055e-07,1.7733807911434227e-06,7.934851239900084e-07,2.413283383193351e-06
6.706055e-07,3.169003e-06,6.706055e-07,6.706055e-07,2.4533827764514096e-06,3.133020263389299e-06,6.706055e-07,3.169003e-06,6.706055e-07,9.017050001561288e-07
9.357402249170704e-07,3.169003e-06,2.5774173262208025e-06,2.7300422304764025e-06,1.3847867670777748e-06,1.7435899551919874e-06,6.706055e-07,2.23877687441192e-06,2.43624392004123e-06,8.745345199696401e-07
3.1190794020189574e-06,6.706055e-07,2.4011883664279002e-06,9.040004437073025e-07,8.472693594065104e-07,9.196298584405027e-07,2.2784102069008734e-06,6.706055e-07,1.3610742488822839e-06,2.7112941105208857e-06
2.690202546982545e-06,6.706055e-07,1.1676368584382232e-06,2.2451757550891828e-06,6.706055e-07,2.0929265330617804e-06,2.135738767908673e-06,6.706055e-07,1.0089464800570263e-06,1.5476643977605728e-06
3.169003e-06,3.169003e-06,1.3880184748311968e-06,6.706055e-07,3.169003e-06,1.456888838211075e-06,7.844781768465559e-07,2.4653291357825977e-06,6.706055e-07,9.91208303162111e-07
6.706055e-07,3.169003e-06,2.5111254157343818e-06,2.7134360634770136e-06,2.9998004659542207e-06,3.169003e-06,2.0609632649970247e-06,1.7473627467998184e-06,1.3349097133187873e-06,8.853633888095469e-07
3.169003e-06,9.184967073496996e-07,3.169003e-06,2.17449952405793e-06,2.026251044318571e-06,6.706055e-07,1.3518303243330328e-06,2.7558131799554248e-06,2.815221148817129e-06,1.2635758848022726e-06
3.169003e-06,2.2366165302119077e-06,6.706055e-07,1.1000181478200758e-06,1.8474157403753205e-06,6.706055e-07,2.000072746015592e-06,1.0231715196675934e-06,1.8799203846841756e-06,3.169003e-06
9.899377534074147e-07,9.751885525371593e-07,8.499895483235563e-07,9.811340423729715e-07,9.702039646277258e-07,8.133168902023376e-07,1.1240835138429598e-06,1.0448964990565401e-06,7.444072966130232e-07,1.151213020900789e-06
2.6809646847663578e-06,3.169003e-06,2.1665361983562457e-06,8.714289542880658e-07,6.706055e-07,3.1597520877283477e-06,2.0702463181545668e-06,1.6889639910493517e-06,1.0962662615089852e-06,7.098808404408147e-07
1.0317833876285054e-06,9.934483141606663e-07,1.0075896022282683e-06,1.3831892443200845e-06,1.5100954893893404e-06,8.768701082747303e-07,1.09646892467578e-06,8.583089554513188e-07,7.691012625692267e-07,6.913118438600537e-07
3.169003e-06,1.1785442309802924e-06,2.1692054770483908e-06,6.706055e-07,1.4337357342072602e-06,6.706055e-07,2.1135891698712123e-06,2.3724429658808603e-06,1.4952804355834945e-06,3.1566563656204476e-06
7.431175834422097e-07,2.8364144570935183e-06,3.066936505537079e-06,2.537654195979041e-06,1.9433709000516027e-06,3.169003e-06,6.706055e-07,2.0132448237730685e-06,1.9762621440969573e-06,1.1554815159790851e-06
8.318724750909308e-07,9.84511841490197e-07,6.708466768502905e-07,1.1884267047893039e-06,7.927772487677535e-07,7.996396741086416e-07,1.142236717909892e-06,1.1354830982493848e-06,8.709366370926357e-07,1.1292075257910055e-06
8.264092780488924e-07,8.913979663291086e-07,1.2472143067679238e-06,7.928169969129454e-07,8.922263109047288e-07,9.584889519043013e-07,8.678909091922399e-07,1.043671263725009e-06,8.763522544010527e-07,8.989326478062991e-07
