Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
6.706055160066171e-07,1.1923708598260419e-06,1.575063834025059e-06,6.706055160066171e-07,7.308580620701832e-07,6.706055160066171e-07,7.51101197238313e-07,1.2816390153602697e-06,6.706055160066171e-07,6.706055160066171e-07
1.151480773842195e-06,6.706055160066171e-07,1.1240717867622152e-06,6.706055160066171e-07,8.855096211846103e-07,6.706055160066171e-07,6.937677881069249e-07,6.706055160066171e-07,1.1818060556834098e-06,6.706055160066171e-07
6.706055160066171e-07,6.706055160066171e-07,1.0318038903278648e-06,6.706055160066171e-07,1.1225675962123205e-06,6.706055160066171e-07,6.706055160066171e-07,9.822375659496174e-07,1.1232697261220892e-06,1.1293143415969098e-06
6.706055160066171e-07,6.706055160066171e-07,8.261627044703346e-07,1.4519309843308292e-06,1.0067783478007186e-06,1.252578840649221e-06,6.706055160066171e-07,1.1545781717359205e-06,6.706055160066171e-07,6.706055160066171e-07
6.706055160066171e-07,8.021462463148055e-07,6.706055160066171e-07,6.860559551569168e-07,6.706055160066171e-07,6.986549578869017e-07,6.714255391671031e-07,6.706055160066171e-07,6.706055160066171e-07,7.356819082815491e-07
1.140067752203322e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.4904849194863345e-06,6.706055160066171e-07,9.073871751752449e-07,9.530583611194743e-07,1.0121253808392794e-06
7.462646181011223e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.283818392039393e-06,6.706055160066171e-07,1.2003723668385646e-06,1.2155533113400452e-06,6.706055160066171e-07,7.815374374331441e-07
1.4109002677287208e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,9.859138572210213e-07,9.504401532467455e-07,1.2762524193021818e-06
1.3695860161533346e-06,1.2933887774124742e-06,9.384501709064352e-07,1.162944045063341e-06,6.706055160066171e-07,6.706055160066171e-07,7.992470045792288e-07,8.67386575009732e-07,6.706055160066171e-07,8.90037483713968e-07
9.88679971669626e-07,1.3602283388536307e-06,1.6345213680324377e-06,6.706055160066171e-07,7.256376761688443e-07,6.706055160066171e-07,6.706055160066171e-07,1.084769223780313e-06,6.706055160066171e-07,1.2752428801832139e-06
6.706055160066171e-07,8.328750595865131e-07,6.706055160066171e-07,1.3754556675849017e-06,9.158785587715101e-07,6.706055160066171e-07,6.706055160066171e-07,1.1135332442790968e-06,1.049810180120403e-06,6.706055160066171e-07
