Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
7.492854479096422e-07,7.641621664333798e-07,8.182151987057296e-07,8.15279975086014e-07,8.523460337528377e-07,6.706055160066171e-07,7.80045638748561e-07,6.706055160066171e-07,8.173391847776657e-07,7.986499213075149e-07
6.706055160066171e-07,7.478109864678117e-07,7.125947263375565e-07,8.238899908974417e-07,7.457813921973866e-07,7.023642183412449e-07,6.706055160066171e-07,7.820390237611718e-07,6.706055160066171e-07,6.706055160066171e-07
9.005720471577661e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.1541163758010953e-06,6.706055160066171e-07,6.706055160066171e-07,1.1541533240233548e-06,7.083128821250284e-07,1.6733079064579215e-06
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,7.210157946246909e-07,7.333756570915284e-07,6.884014851493703e-07,7.488598043892125e-07,6.903703706484521e-07,7.23882180864166e-07,6.706055160066171e-07
1.008456251838652e-06,2.4042742552410346e-06,6.706055160066171e-07,6.706055160066171e-07,8.79516733220953e-07,8.734178891245392e-07,1.5037246612337185e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
6.706055160066171e-07,6.706055160066171e-07,6.817326720920391e-07,7.461927680196823e-07,6.706055160066171e-07,7.995305395525065e-07,6.706055160066171e-07,8.700053513166495e-07,6.706055160066171e-07,7.621023314641207e-07
8.128430977194512e-07,6.706055160066171e-07,9.430293061996053e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,3.1207066513161408e-06
6.706055160066171e-07,1.666478738115984e-06,1.692615114734508e-06,1.3427695648715599e-06,9.055339660335449e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
1.541108076708042e-06,6.706055160066171e-07,2.1691205347451614e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.7757870409695897e-06,6.706055160066171e-07,6.706055160066171e-07
7.584802119708911e-07,6.706055160066171e-07,6.706055160066171e-07,7.918604865153611e-07,8.084282399067888e-07,6.927534741407726e-07,6.992132171035337e-07,7.52865844333428e-07,7.507705959142186e-07,6.96042434356059e-07
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.896610228868667e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,2.0200625385768944e-06,8.847298431646777e-07,1.1006733302565408e-06
